,command_name,command_id,pos_id,start_fr_id,end_fr_id
950,play an artist,208,1,1.0,89.0
951,causes channels in youtube,689,1,90.0,238.0
952,news_and_politics channels in youtube,963,1,239.0,442.0
953,open my shutters for me,112,1,443.0,576.0
954,comedy channels in youtube,947,1,577.0,725.0
955,instagram pictures on my account,892,1,726.0,904.0
956,the temperature on my thermostat,333,2,1.0,185.0
957,when the corridor becomes occupied or empty,1218,2,186.0,425.0
958,the sports section of the new york times,770,2,426.0,650.0
959,when the washington post publishes an article,1103,2,651.0,900.0
960,youtube 's diy channels,917,3,1.0,131.0
961,if I raised the curtains,337,3,132.0,267.0
962,latest posts in all my rss feeds,808,3,268.0,443.0
963,an aphorism,949,3,444.0,514.0
964,when the smoke goes away,1254,3,515.0,650.0
965,retract the awnings,146,3,651.0,761.0
966,},753,3,762.0,782.0
967,color loop the lights,242,3,783.0,903.0
968,when I upload a picture on instagram,1102,4,1.0,191.0
969,when my window closes,1333,4,192.0,307.0
970,cats,1058,4,308.0,338.0
971,the weather outside,389,4,339.0,444.0
972,when the room gets occupied or becomes empty,1365,4,445.0,675.0
973,close the damper,202,4,676.0,766.0
974,enable my security camera,68,4,767.0,902.0
975,where is my Tesla car?,354,5,1.0,117.0
976,a random dog fact,733,5,118.0,209.0
977,my emails on gmail,428,5,210.0,306.0
978,when the plug gets plugged,1324,5,307.0,443.0
979,whether my awnings are open or closed,385,5,444.0,635.0
980,omlet messages i received,475,5,636.0,767.0
981,top stories on wired news,468,5,768.0,899.0
982,the energy of this song,515,6,1.0,138.0
983,turn my fan,207,6,139.0,216.0
984,channels in category beauty_and_fashion on youtube,683,6,217.0,489.0
985,my newest google drive files,589,6,490.0,652.0
986,posts in the washington post world_views blog,990,6,653.0,900.0
987,when something is detected by my security camera,1277,7,1.0,249.0
988,raise the volume of my lg tv,312,7,250.0,398.0
989,ask my vacuum to wait,74,7,399.0,512.0
990,when the router gets disconnected,1200,7,513.0,686.0
991,news on techcrunch,481,7,687.0,785.0
992,latest star wars news,678,7,786.0,899.0
993,if there is a new picture on my instagram,1104,8,1.0,235.0
994,make my security camera stop recording,273,8,236.0,455.0
995,wsj markets articles,494,8,456.0,585.0
996,tech youtube channels,834,8,586.0,720.0
997,when I have new favorite songs,1203,8,721.0,900.0
998,when an event on my icalendar ends,1189,9,1.0,180.0
999,when someone i follow tweets,1242,9,181.0,330.0
1000,when the curtains finish lowering,1198,9,331.0,505.0
1001,politics washington post 's articles,671,9,506.0,695.0
1002,whether the heat sensor is warm or cold,434,9,696.0,900.0
