,command_name,command_id,pos_id,start_fr_id,end_fr_id
1274,my google drive files in alphabetical order,862,1,1.0,220.0
1275,articles in the new york times business section,598,1,221.0,460.0
1276,if my fan is oscillating or stationary,961,1,461.0,655.0
1277,my lists from Wunderlist ,331,1,656.0,785.0
1278,NSFW images from Imgur,795,1,786.0,900.0
1279,diy channels in youtube,505,2,1.0,138.0
1280,posts on phd comics,408,2,139.0,256.0
1281,turn on my Tesla car air-conditioner,220,2,257.0,459.0
1282,from_tv channels in youtube,483,2,460.0,617.0
1283,youtube 's best_of_youtube channels,347,2,618.0,815.0
1284,a random name,881,2,816.0,903.0
1285,articles in the washington post in section world,776,3,1.0,262.0
1286,medium articles,443,3,263.0,359.0
1287,wall street journal articles,1024,3,360.0,521.0
1288,articles in the new york times science section,997,3,522.0,773.0
1289,open my damper for me,56,3,774.0,900.0
1290,upload a picture to Imgur and mark it mature,246,4,1.0,224.0
1291,automotive channels in youtube,560,4,225.0,378.0
1292,the blog right_turn of the washington post,878,4,379.0,592.0
1293,stories on macrumors,571,4,593.0,696.0
1294,reduce the volume of my lg tv,237,4,697.0,845.0
1295,name a baby,963,4,846.0,904.0
1296,order me a black espresso,107,5,1.0,142.0
1297,my linkedin profile,827,5,143.0,254.0
1298,whether anybody is detected by the sound sensor,762,5,255.0,506.0
1299,shut down the lights,297,5,507.0,623.0
1300,tech channels in youtube,895,5,624.0,760.0
1301,cs two nine four s slides,706,5,761.0,902.0
1302,my google drive files,533,6,1.0,121.0
1303,the state of the motion sensor,668,6,122.0,287.0
1304,order me a iced white_mocha,14,6,288.0,438.0
1305,upload a public picture to Imgur,72,6,439.0,614.0
1306,order me a iced drip_coffee,312,6,615.0,765.0
1307,a piece of animal trivia,607,6,766.0,901.0
1308,top stories on wired news,500,7,1.0,131.0
1309,make my lg tv louder,195,7,132.0,237.0
1310,Is my car at home? ,386,7,238.0,338.0
1311,whether the blinds are raised or lowered,818,7,339.0,544.0
1312,sports channels in youtube,702,7,545.0,680.0
1313,share a picture to the public Imgur gallery,35,7,681.0,901.0
1314,set my hvac to heat,231,8,1.0,107.0
1315,the speechiness of the current song,399,8,108.0,294.0
1316,pictures of cats,563,8,295.0,386.0
1317,the fitbit pedometer,618,8,387.0,498.0
1318,switch on the vacuum,100,8,499.0,610.0
1319,top stories on abc news,430,8,611.0,737.0
1320,open my shades,217,8,738.0,819.0
1321,play a playlist,183,8,820.0,906.0
1322,recommended youtube channels,659,9,1.0,168.0
1323,turn on my switch for me,269,9,169.0,316.0
1324,my google drive files that were created most recently,735,9,317.0,609.0
1325,wall street journal articles in the lifestyle section,985,9,610.0,902.0
